EmpID,PerformanceScore,EmpSatisfaction
10026,Exceeds,5
10084,Fully Meets,3
10196,Fully Meets,3
10088,Fully Meets,5
10069,Fully Meets,4
10002,Exceeds,5
10194,Fully Meets,3
10062,Fully Meets,4
10114,Fully Meets,3
10250,Fully Meets,5
10252,Fully Meets,4
10242,Fully Meets,3
10012,Exceeds,4
10265,Fully Meets,4
10066,Fully Meets,5
10061,Fully Meets,4
10023,Exceeds,3
10055,Fully Meets,5
10245,Fully Meets,4
10277,Fully Meets,4
10046,Fully Meets,3
10226,Fully Meets,3
10003,Exceeds,3
10294,Needs Improvement,3
10267,Fully Meets,5
10199,Fully Meets,5
10081,Fully Meets,4
10175,Fully Meets,3
10177,Fully Meets,4
10238,Fully Meets,2
10184,Fully Meets,3
10203,Fully Meets,5
10188,Fully Meets,5
10107,Fully Meets,4
10181,Fully Meets,5
10150,Fully Meets,3
10001,Exceeds,3
10085,Fully Meets,4
10115,Fully Meets,3
10082,Fully Meets,5
10040,Fully Meets,5
10067,Fully Meets,4
10108,Fully Meets,5
10210,Fully Meets,4
10154,Fully Meets,5
10200,Fully Meets,5
10240,Fully Meets,4
10168,Fully Meets,5
10220,Fully Meets,3
10275,Fully Meets,5
10269,Fully Meets,4
10029,Exceeds,4
10261,Fully Meets,5
10292,Needs Improvement,3
10282,Needs Improvement,2
10019,Exceeds,5
10094,Fully Meets,5
10193,Fully Meets,3
10132,Fully Meets,5
10083,Fully Meets,3
10099,Fully Meets,4
10212,Fully Meets,5
10056,Fully Meets,3
10143,Fully Meets,4
10311,Fully Meets,4
10070,Fully Meets,4
10155,Fully Meets,5
10306,PIP,3
10100,Fully Meets,5
10310,PIP,2
10197,Fully Meets,5
10276,Fully Meets,4
10304,PIP,1
10284,Needs Improvement,4
10207,Fully Meets,5
10133,Fully Meets,4
10028,Exceeds,5
10006,Exceeds,5
10105,Fully Meets,4
10211,Fully Meets,3
10064,Fully Meets,3
10247,Fully Meets,5
10235,Fully Meets,3
10299,PIP,1
10280,Needs Improvement,4
10296,Needs Improvement,3
10290,Needs Improvement,5
10263,Fully Meets,5
10136,Fully Meets,4
10189,Fully Meets,3
10308,PIP,5
10309,PIP,3
10049,Fully Meets,5
10093,Fully Meets,5
10163,Fully Meets,3
10305,PIP,5
10015,Exceeds,5
10080,Fully Meets,3
10258,Fully Meets,3
10273,Fully Meets,4
10111,Fully Meets,3
10257,Fully Meets,4
10159,Fully Meets,3
10122,Fully Meets,4
10142,Fully Meets,4
10283,Needs Improvement,4
10018,Exceeds,4
10255,Fully Meets,5
10246,Fully Meets,4
10228,Fully Meets,5
10243,Fully Meets,5
10031,Exceeds,4
10300,PIP,3
10101,Fully Meets,4
10237,Fully Meets,3
10051,Fully Meets,3
10218,Fully Meets,5
10256,Fully Meets,5
10098,Fully Meets,3
10059,Fully Meets,5
10234,Fully Meets,5
10109,Fully Meets,5
10125,Fully Meets,4
10074,Fully Meets,3
10097,Fully Meets,4
10007,Exceeds,4
10129,Fully Meets,4
10075,Fully Meets,3
10167,Fully Meets,5
10195,Fully Meets,5
10112,Fully Meets,5
10272,Fully Meets,4
10182,Fully Meets,3
10248,Fully Meets,4
10201,Fully Meets,5
10214,Fully Meets,3
10160,Fully Meets,3
10289,Needs Improvement,2
10139,Fully Meets,3
10227,Fully Meets,3
10236,Fully Meets,5
10009,Exceeds,4
10060,Fully Meets,5
10034,Exceeds,4
10156,Fully Meets,3
10036,Exceeds,3
10138,Fully Meets,4
10244,Fully Meets,5
10192,Fully Meets,4
10231,Fully Meets,5
10089,Fully Meets,3
10166,Fully Meets,5
10170,Fully Meets,4
10208,Fully Meets,3
10176,Fully Meets,3
10165,Fully Meets,5
10113,Fully Meets,5
10092,Fully Meets,4
10106,Fully Meets,3
10052,Fully Meets,5
10038,Fully Meets,4
10249,Fully Meets,3
10232,Fully Meets,5
10087,Fully Meets,3
10134,Fully Meets,4
10251,Fully Meets,3
10103,Fully Meets,3
10017,Exceeds,3
10186,Fully Meets,4
10137,Fully Meets,3
10008,Exceeds,4
10096,Fully Meets,4
10035,Exceeds,4
10057,Fully Meets,3
10004,Exceeds,4
10191,Fully Meets,4
10219,Fully Meets,4
10077,Fully Meets,3
10073,Fully Meets,4
10279,Fully Meets,3
10110,Fully Meets,5
10053,Fully Meets,4
10076,Fully Meets,5
10145,Fully Meets,3
10202,Fully Meets,4
10128,Fully Meets,4
10068,Fully Meets,4
10116,Fully Meets,3
10298,PIP,2
10213,Fully Meets,3
10288,Needs Improvement,3
10025,Exceeds,3
10223,Fully Meets,4
10151,Fully Meets,3
10254,Fully Meets,4
10120,Fully Meets,5
10216,Fully Meets,4
10079,Fully Meets,3
10215,Fully Meets,3
10185,Fully Meets,3
10063,Fully Meets,5
10037,Exceeds,3
10042,Fully Meets,5
10206,Fully Meets,5
10104,Fully Meets,5
10303,PIP,2
10078,Fully Meets,3
10121,Fully Meets,3
10021,Exceeds,3
10281,Needs Improvement,3
10041,Fully Meets,5
10148,Fully Meets,4
10005,Exceeds,5
10259,Fully Meets,4
10286,Needs Improvement,5
10297,Needs Improvement,5
10171,Fully Meets,4
10032,Exceeds,5
10130,Fully Meets,5
10217,Fully Meets,3
10016,Exceeds,5
10050,Fully Meets,3
10164,Fully Meets,3
10124,Fully Meets,5
10187,Fully Meets,4
10225,Fully Meets,3
10262,Fully Meets,5
10131,Fully Meets,4
10239,Fully Meets,4
10152,Fully Meets,5
10140,Fully Meets,3
10058,Fully Meets,4
10011,Exceeds,5
10230,Fully Meets,4
10224,Fully Meets,5
10047,Fully Meets,3
10285,Needs Improvement,3
10020,Exceeds,5
10162,Fully Meets,5
10149,Fully Meets,3
10086,Fully Meets,3
10054,Fully Meets,4
10065,Fully Meets,5
10198,Fully Meets,5
10222,Fully Meets,4
10126,Fully Meets,3
10295,Needs Improvement,4
10260,Fully Meets,5
10233,Fully Meets,3
10229,Fully Meets,3
10169,Fully Meets,3
10071,Fully Meets,5
10179,Fully Meets,3
10091,Fully Meets,4
10178,Fully Meets,3
10039,Fully Meets,3
10095,Fully Meets,4
10027,Exceeds,3
10291,Needs Improvement,4
10153,Fully Meets,4
10157,Fully Meets,3
10119,Fully Meets,3
10180,Fully Meets,4
10302,PIP,2
10090,Fully Meets,5
10030,Exceeds,4
10278,Fully Meets,4
10307,PIP,2
10147,Fully Meets,5
10266,Fully Meets,3
10241,Fully Meets,4
10158,Fully Meets,4
10117,Fully Meets,5
10209,Fully Meets,5
10024,Exceeds,5
10173,Fully Meets,3
10221,Fully Meets,5
10146,Fully Meets,3
10161,Fully Meets,3
10141,Fully Meets,4
10268,Fully Meets,4
10123,Fully Meets,5
10013,Exceeds,3
10287,Needs Improvement,5
10044,Fully Meets,3
10102,Fully Meets,3
10270,Fully Meets,3
10045,Fully Meets,4
10205,Fully Meets,3
10014,Exceeds,5
10144,Fully Meets,3
10253,Fully Meets,4
10118,Fully Meets,3
10022,Exceeds,5
10183,Fully Meets,3
10190,Fully Meets,5
10274,Fully Meets,3
10293,Needs Improvement,3
10172,Fully Meets,4
10127,Fully Meets,4
10072,Fully Meets,5
10048,Fully Meets,3
10204,Fully Meets,5
10264,Fully Meets,4
10033,Exceeds,3
10174,Fully Meets,4
10135,Fully Meets,4
10301,PIP,2
10010,Exceeds,5
10043,Fully Meets,3
10271,Fully Meets,5